id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
772699,unc-33(e204) 25C,0,2.34,0,0,0,3,2,1,0,0,0,1.17,1.17,1,0.5,1.5,1.5,0,0,0,0,1.5,1,0.5,1.5,0,0,"AMH59 25C, animal 25.oir",25°C,unc-33(e204)
835654,unc-33(e204) 25C,3.71,2.3,11,5,0,16,15,1,2,0,1.855,1.15,3.005,10,0.5,10.5,10.5,5.5,2.5,0,2.5,5,7.5,0.5,8,1,0,"AMH59 25C, animal 11.oir",25°C,unc-33(e204)
897525,unc-33(e204) 25C,1.73,1.63,2,2,1,7,5,2,0,0,0.865,0.815,1.68,3.5,1.5,5,4.5,1,1,0.5,1.5,3.5,2.5,1,3.5,0,0,"AMH59 25C, animal 17.oir",25°C,unc-33(e204)
909940,unc-33(e204) 25C,0.96,1.98,6,6,0,9,9,0,0,0,0.48,0.99,1.47,7.5,0,7.5,7.5,3,3,0,3,4.5,4.5,0,4.5,0,0,"AMH59 25C, animal 8.oir",25°C,unc-33(e204)
939977,unc-33(e204) 25C,0.47,2.18,4,4,0,7,8,0,0,0,0.235,1.09,1.325,6,0,6,5.5,2,2,0,2,3.5,4,0,4,0,0,"AMH59 25C, animal 2.oir",25°C,unc-33(e204)
952931,unc-33(e204) 25C,0.87,4.85,7,7,0,19,15,3,1,0,0.435,2.425,2.86,11,1.5,12.5,13,3.5,3.5,0,3.5,9.5,7.5,1.5,9,0.5,0,"AMH59 25C, animal 23.oir",25°C,unc-33(e204)
988524,unc-33(e204) 25C,1.53,1.25,9,7,1,13,10,3,1,0,0.765,0.625,1.39,8.5,2,10.5,11,4.5,3.5,0.5,4,6.5,5,1.5,6.5,0.5,0,"AMH59 25C, animal 27.oir",25°C,unc-33(e204)
141587,unc-33(e204) 25C,0.04,3.28,1,1,0,6,4,2,2,0,0.02,1.64,1.66,2.5,1,3.5,3.5,0.5,0.5,0,0.5,3,2,1,3,1,0,"AMH59 25C, animal 33.oir",25°C,unc-33(e204)
206646,unc-33(mn407) 25C,0.34,3.02,4,4,0,7,3,4,0,0,0.17,1.51,1.68,3.5,2,5.5,5.5,2,2,0,2,3.5,1.5,2,3.5,0,0,"AMH57 25C, animal 32.oir",25°C,unc-33(mn407)
232421,unc-33(mn407) 25C,0,3.94,0,0,0,15,12,3,1,0,0,1.97,1.97,6,1.5,7.5,7.5,0,0,0,0,7.5,6,1.5,7.5,0.5,0,"AMH57 25C, animal 11.oir",25°C,unc-33(mn407)
