id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
461108,unc-33(e204) 20C,0.47,2.37,3,0,3,10,11,0,1,0,0.47,2.37,2.84,11,3,14,13,3,0,3,3,10,11,0,11,1,0,"AMH59 20C, animal 13.oir",20°C,unc-33(e204)
481506,unc-33(e204) 20C,0,1.82,0,0,0,3,2,1,0,0,0,1.82,1.82,2,1,3,3,0,0,0,0,3,2,1,3,0,0,"AMH59 20C, animal 124.oir",20°C,unc-33(e204)
483957,unc-33(e204) 20C,0.34,4.79,3,0,0,24,21,5,0,0,0.17,2.395,2.565,10.5,2.5,13,13.5,1.5,0,0,0,12,10.5,2.5,13,0,0,"AMH59 20C, animal 15.oir",20°C,unc-33(e204)
533168,unc-33(e204) 20C,0,2.94,0,0,0,18,10,8,0,0,0,1.47,1.47,5,4,9,9,0,0,0,0,9,5,4,9,0,0,"AMH59 20C, animal 103.oir",20°C,unc-33(e204)
994173,unc-33(e204) 20C,0,1.38,0,0,0,7,7,0,0,0,0,1.38,1.38,7,0,7,7,0,0,0,0,7,7,0,7,0,0,"AMH59 20C, animal 107.oir",20°C,unc-33(e204)
272966,unc-33(e204) 20C,0.1,3.55,1,1,0,17,14,3,1,0,0.05,1.775,1.825,7.5,1.5,9,9,0.5,0.5,0,0.5,8.5,7,1.5,8.5,0.5,0,"AMH59 20C, animal 123.oir",20°C,unc-33(e204)
293244,unc-33(e204) 20C,0.16,5.14,1,1,0,10,10,2,1,0,0.08,2.57,2.65,5.5,1,6.5,5.5,0.5,0.5,0,0.5,5,5,1,6,0.5,0,"AMH59 20C, animal 116.oir",20°C,unc-33(e204)
731625,unc-33(e204) 20C,0.7,3.23,2,1,1,8,8,1,0,0,0.35,1.615,1.965,4.5,1,5.5,5,1,0.5,0.5,1,4,4,0.5,4.5,0,0,"AMH59 20C, animal 119.oir",20°C,unc-33(e204)
754645,unc-33(e204) 20C,0.09,1.77,1,1,0,4,3,1,0,0,0.045,0.885,0.93,2,0.5,2.5,2.5,0.5,0.5,0,0.5,2,1.5,0.5,2,0,0,"AMH59 20C, animal 131.oir",20°C,unc-33(e204)
119600,unc-33(e204) 20C,0.02,1.48,1,1,0,7,4,2,0,0,0.02,1.48,1.5,5,2,7,8,1,1,0,1,7,4,2,6,0,0,"AMH59 20C, animal 6.oir",20°C,unc-33(e204)
